file                                                        ,6c6s_tm_sub,6c6s_tm,5ond_tm_sub,5ond_tm,6c6s_rmsd         ,6c6s_rmsd_res_aligned,6c6s_rmsd_before_align,5ond_rmsd         ,5ond_rmsd_res_aligned,5ond_rmsd_before_align,bfactor            
subfamilies/RFAH_output_58/RFAH_all_qid99_58_135_44_pred.pdb,0.21464    ,0.41733,0.78475    ,0.4175 ,9.529950141906738 ,38                   ,10.789399147033691    ,1.1895079612731934,38                   ,2.3218069076538086    ,0.5497530842268908 
subfamilies/RFAH_output_64/RFAH_all_qid99_64_94_22_pred.pdb ,0.22643    ,0.35981,0.76669    ,0.42711,9.219369888305664 ,38                   ,11.127131462097168    ,1.4063714742660522,38                   ,2.2430222034454346    ,0.43783950511320135
subfamilies/RFAH_output_74/RFAH_all_qid99_74_32_51_pred.pdb ,0.21982    ,0.2413 ,0.74351    ,0.3079 ,9.238912582397461 ,38                   ,10.996655464172363    ,1.4062485694885254,38                   ,2.2278921604156494    ,0.3760493833709646 
subfamilies/RFAH_output_73/RFAH_all_qid99_73_37_35_pred.pdb ,0.24295    ,0.22835,0.73658    ,0.29166,9.71209716796875  ,38                   ,10.382038116455078    ,1.3566102981567383,38                   ,2.8196654319763184    ,0.42265431932461117
subfamilies/RFAH_output_73/RFAH_all_qid99_73_37_91_pred.pdb ,0.19861    ,0.24214,0.71506    ,0.33558,9.338616371154785 ,38                   ,11.091839790344238    ,1.5778802633285522,38                   ,2.3212549686431885    ,0.3932716049897818 
subfamilies/RFAH_output_56/RFAH_all_qid99_56_140_98_pred.pdb,0.21037    ,0.43116,0.7022     ,0.43272,9.403434753417969 ,38                   ,10.779792785644531    ,1.5445693731307983,38                   ,2.502872943878174     ,0.5767901243618977 
subfamilies/RFAH_output_59/RFAH_all_qid99_59_126_48_pred.pdb,0.21327    ,0.40641,0.69929    ,0.41029,9.833626747131348 ,38                   ,10.85684585571289     ,1.5883370637893677,38                   ,2.3631680011749268    ,0.5149999974686422 
subfamilies/RFAH_output_52/RFAH_all_qid99_52_145_13_pred.pdb,0.21882    ,0.34334,0.69646    ,0.40534,9.504846572875977 ,38                   ,11.27446174621582     ,3.801142454147339 ,38                   ,5.767140865325928     ,0.5483950602787512 
subfamilies/RFAH_output_56/RFAH_all_qid99_56_140_6_pred.pdb ,0.22875    ,0.41032,0.68638    ,0.42008,9.386619567871094 ,38                   ,10.644458770751953    ,1.6504974365234375,38                   ,2.9455370903015137    ,0.5022839506467184 
subfamilies/RFAH_output_63/RFAH_all_qid99_63_102_11_pred.pdb,0.22186    ,0.25262,0.68172    ,0.28077,10.022723197937012,38                   ,11.613815307617188    ,3.6187961101531982,38                   ,5.656275749206543     ,0.46604938014054004
